"id","order","label","name","description","type","questionaireID","groupID","created_at","updated_at"
312,1,1.,"เวลาโกรธหรือไม่สบาย ฉันรับรู้ได้ว่าเกิดอะไรขึ้นกับฉัน","",0,38,54,"2016-09-11 09:10:31","2016-09-11 10:33:44"
313,2,2.,"ฉันบอกไม่ได้ว่าอะไรทำให้ฉันรู้สึกกลัว","",0,38,54,"2016-09-11 09:21:31","2016-09-11 10:33:43"
314,3,3.,"เมื่อถูกขัดใจฉันมักรู้สึกหงุดหงิดจนควบคุมอารมณ์ไม่ได้","",0,38,54,"2016-09-11 09:21:31","2016-09-11 10:33:43"
315,4,4.,"ฉันสามารถคอยเพื่อให้บรรลุเป้าหมายที่พอใจ","",0,38,54,"2016-09-11 09:21:31","2016-09-11 10:33:42"
316,5,5.,"ฉันมักมีปฏิกิริยาตอบโต้รุนแรงต่อปัญหาเพียงเล็กน้อย","",0,38,54,"2016-09-11 09:21:31","2016-09-11 10:33:41"
317,6,6.,"เมื่อถูกบังคับให้ทำในสิ่งที่ไม่ชอบ ฉันอธิบายเหตุผลจนผู้อื่นยอมรับไม่ได้","",0,38,54,"2016-09-11 09:21:31","2016-09-11 10:33:41"
318,7,7.,"ฉันสังเกตได้ เมื่อคนใกล้ชิดมีอารมณ์เปลี่ยนแปลง","",0,38,55,"2016-09-11 09:21:31","2016-09-11 10:33:19"
319,8,8.,"ฉันไม่สนใจกับความทุกข์ของคนอื่นที่ฉันไม่รู้จัก","",0,38,55,"2016-09-11 09:21:31","2016-09-11 10:33:22"
320,9,9.,"ฉันไม่ยอมรับในสิ่งที่ผู้อื่นทำต่างจากที่ฉันคิด","",0,38,55,"2016-09-11 09:21:31","2016-09-11 10:33:24"
321,10,10.,"ฉันยอมรับได้ว่าผู้อื่นก็อาจมีเหตุผลที่จะไม่พอใจการกระทำของฉัน","",0,38,55,"2016-09-11 09:36:44","2016-09-11 10:33:27"
322,11,11.,"ฉันรู้สึกว่าผู้อื่นขอบเรียกร้องความสนใจมากเกินไป","",0,38,55,"2016-09-11 09:36:44","2016-09-11 10:33:29"
323,12,12.,"แม้จะมีภาระที่ต้องทำ ฉันก็ยินดีรับฟังความทุกข์ของผู้อื่นที่ต้องการความช่วยเหลือ","",0,38,55,"2016-09-11 09:36:44","2016-09-11 10:33:31"
324,13,13.,"เป็นเรื่องธรรมดาที่จะเอาเปรียบผู้อื่นเมื่อมีโอกาส","",0,38,56,"2016-09-11 09:36:44","2016-09-11 10:33:01"
325,14,14.,"ฉันเห็นคุณค่าในน้ำใจที่ผู้อื่นมีต่อฉัน","",0,38,56,"2016-09-11 09:36:44","2016-09-11 10:33:01"
326,15,15.,"เมื่อทำผิดฉันสามารถกล่าวคำ ขอโทษ ผู้อื่นได้","",0,38,56,"2016-09-11 09:36:44","2016-09-11 10:33:00"
327,16,16.,"ฉันยอมรับข้อผิดพลาดของคนอื่นได้ยาก","",0,38,56,"2016-09-11 09:36:44","2016-09-11 10:32:59"
328,17,17.,"ถึงแม้จะเสียประโยชน์ส่วนตัวไปบ้าง ฉันก็ยินดีที่จะทำเพื่อส่วนรวม","",0,38,56,"2016-09-11 09:36:44","2016-09-11 10:32:59"
329,18,18.,"ฉันรู้สึกลำบากใจในการทำสิ่งใดสิ่งหนึ่งเพื่อผู้อื่น","",0,38,56,"2016-09-11 09:36:44","2016-09-11 10:32:58"
330,19,19.,"ฉันไม่รู้ว่าฉันเก่งเรื่องอะไร","",0,38,57,"2016-09-11 09:36:44","2016-09-11 10:32:42"
331,20,20.,"แม้จะเป็นงานยากฉันก็มั่นใจว่าสามารถทำได้","",0,38,57,"2016-09-11 09:36:44","2016-09-11 10:32:43"
332,21,21.,"เมื่อทำสิ่งใดไม่สำเร็จฉันรู้สึกหมดกำลังใจ","",0,38,57,"2016-09-11 09:51:27","2016-09-11 10:32:43"
333,22,22.,"เมื่อต้องเผชิญกับอุปสรรคและความผิดหวัง ฉันก็จะไม่ยอมแพ้","",0,38,57,"2016-09-11 09:51:27","2016-09-11 10:32:44"
334,23,23.,"เมื่อต้องเผชิญกับอุปสรรคและความผิดหวัง ฉันก็จะไม่ยอมแพ้","",0,38,57,"2016-09-11 09:51:27","2016-09-11 10:32:45"
335,24,24.,"เมื่อเริ่มทำสิ่งหนึ่งสิ่งใด ฉันมักทำต่อไปไม่สำเร็จ","",0,38,57,"2016-09-11 09:51:27","2016-09-11 10:32:45"
336,25,25.,"ฉันพยายามหาสาเหตุที่แท้จริงของปัญหาโดยไม่คิดเอาเองตามใจชอบ","",0,38,58,"2016-09-11 09:51:27","2016-09-11 10:32:26"
337,26,26.,"บ่อยครั้งที่ฉันไม่รู้ว่าอะไรทำให้ฉันไม่มีความสุข","",0,38,58,"2016-09-11 09:51:27","2016-09-11 10:32:26"
338,27,27.,"ฉันรู้สึกว่าการตัดสินใจแก้ปัญหาเป็นเรื่องยากสำหรับฉัน","",0,38,58,"2016-09-11 09:51:27","2016-09-11 10:32:27"
339,28,28.,"เมื่อต้องทำอะไรบางอย่างในเวลาเดียวกันฉันตัดสินใจได้ว่าจะทำอะไรก่อนหลัง","",0,38,58,"2016-09-11 09:51:27","2016-09-11 10:32:28"
340,29,29.,"ฉันลำบากใจเมื่อต้องอยู่กับคนแปลกหน้าหรือคนที่ไม่คุ้นเคย","",0,38,58,"2016-09-11 09:51:27","2016-09-11 10:32:29"
341,30,30.,"ฉันทนไม่ได้เมื่อต้องอยู่ในสังคมที่มีกฎระเบียบขัดกับความเคยชินกับฉัน","",0,38,58,"2016-09-11 09:51:27","2016-09-11 10:32:29"
342,31,31.,"ฉันทำความรู้จักผู้อื่นได้ง่าย","",0,38,60,"2016-09-11 09:51:27","2016-09-11 10:32:16"
343,32,32.,"ฉันมีเพื่อนสนิทหลายคนที่คบกันมานาน","",0,38,60,"2016-09-11 09:51:27","2016-09-11 10:32:17"
344,33,33.,"ฉันไม่กล้าบอกความต้องการของฉันให้ผู้อื่นรับรู้","",0,38,60,"2016-09-11 09:51:27","2016-09-11 10:32:17"
345,34,34.,"ฉันทำในสิ่งที่ต้องการโดยไม่ทำให้ผู้อื่นเดือดร้อน","",0,38,60,"2016-09-11 09:51:27","2016-09-11 10:32:18"
346,35,35.,"เป็นการยากสำหรับฉันที่จะโต้แย้งกับผู้อื่น แม้จะมีเหตุผลเพียงพอ","",0,38,60,"2016-09-11 09:51:27","2016-09-11 10:32:19"
347,36,36.,"เมื่อไม่เห็นด้วยกับผู้อื่นฉันสามารถอธิบายเหตุผลที่เขายอมรับได้","",0,38,60,"2016-09-11 09:51:27","2016-09-11 10:32:19"
348,37,37.,"ฉันรู้สึกว่าด้อยกว่าคนอื่น","",0,38,61,"2016-09-11 09:51:27","2016-09-11 10:32:10"
349,38,38.,"ฉันทำหน้าที่ได้ดี ไม่ว่าจะอยู่ในบทบาทใด","",0,38,61,"2016-09-11 09:51:27","2016-09-11 10:32:09"
350,39,39.,"ฉันสามารถทำงานที่ได้รับมอบหมายได้ดีที่สุด","",0,38,61,"2016-09-11 09:51:27","2016-09-11 10:32:09"
351,40,40.,"ฉันไม่มั่นใจในการทำงานที่ยากลำบาก","",0,38,61,"2016-09-11 09:51:27","2016-09-11 10:32:08"
352,41,41.,"แม้สถานการณ์จะเลวร้าย ฉันก็มีความหวังว่าจะดีขึ้น","",0,38,62,"2016-09-11 09:51:27","2016-09-11 10:32:01"
353,42,42.,"ทุกปัญหามักมีทางออกเสมอ","",0,38,62,"2016-09-11 09:51:27","2016-09-11 10:32:00"
354,43,43.,"เมื่อมีเรื่องทำให้เครียด ฉันมักปรับเปลี่ยนให้เป็นเรื่องผ่อนคลาย หรือสนุกสนาน","",0,38,62,"2016-09-11 09:51:27","2016-09-11 10:31:58"
355,44,44.,"ฉันสนุกสนานทุกครั้งกับกิจกรรมในวันสุดสัปดาห์และวันหยุดพักผ่อน","",0,38,62,"2016-09-11 09:51:27","2016-09-11 10:31:55"
356,45,45.,"ฉันรู้สึกไม่พอใจที่ผู้อื่นได้รับสิ่งดีๆ มากกว่าฉัน","",0,38,62,"2016-09-11 09:51:28","2016-09-11 10:31:55"
357,46,46.,"ฉันพอใจกับสิ่งที่ฉันเป็นอยู่","",0,38,62,"2016-09-11 09:51:28","2016-09-11 10:31:54"
358,47,47.,"ฉันไม่รู้ว่าจะหาอะไรทำ เมื่อรู้สึกเบื่อหน่าย","",0,38,63,"2016-09-11 09:51:28","2016-09-11 10:29:59"
359,48,48.,"เมื่อวันว่างจากภาระหน้าที่ ฉันจะทำในสิ่งที่ฉันชอบ","",0,38,63,"2016-09-11 09:51:28","2016-09-11 10:30:02"
360,49,49.,"เมื่อรู้สึกไม่สบายใจ ฉันมีวิธีผ่อนคลายอารมณ์ได้","",0,38,63,"2016-09-11 09:51:28","2016-09-11 10:30:04"
361,50,50.,"ฉันสามารถผ่อนคลายตนเองได้ แม้จะเหน็ดเหนื่อยจากภาระหน้าที่","",0,38,63,"2016-09-11 09:51:28","2016-09-11 10:30:08"
362,51,51.,"ฉันไม่สามารถทำใจให้เป็นสุขได้จนกว่าจะได้ทุกสิ่งที่ต้องการ","",0,38,63,"2016-09-11 09:51:28","2016-09-11 10:30:08"
363,52,52.,"ฉันทุกข์ร้อนกับเรื่องเล็กๆ น้อยๆ ที่เกิดขึ้นเสมอ","",0,38,63,"2016-09-11 09:51:28","2016-09-11 10:30:09"
